viewId,viewName,province,city,viewImg,viewDes,viewTime,viewTransport,viewTicket,viewOpenTime,viewAddress,,star
341,八达岭长城,北京,北京,http://b1-q.mafengwo.net/s11/M00/36/36/wKgBEFrhb3SAN3dcABAft7C2kYs76.jpeg?imageMogr2%2Fthumbnail%2F%21690x370r%2Fgravity%2FCenter%2Fcrop%2F%21690x370%2Fquality%2F100,"·被称为“天下九塞”之一，是明长城景色中的精华，海拔高达1015米，也是居庸关的前哨。
·分为南长城和北长城两部分，南长城有7处敌楼，游客相对较少，北长城有12处敌楼，比较难爬。
·是游览北京的必到之处，尼克松、撒切尔夫人等三百多位世界知名人士曾登上长城。
·是5A级景区，被联合国教科文组织列入《世界文化遗产名录》，热度仅次于天安门广场。",3小时以上,乘坐877路公交车或S2线动车组至八达岭。,普通票:40人民币 (4月1日-10月31日 ),"06:30-19:00 (4月1日-6月30日,9月1日-10月31日 周一-周日)",北京市延庆区G6京藏高速58号出口,,4
340,故宫,北京,北京,http://n1-q.mafengwo.net/s12/M00/37/05/wKgED1vN30-AP3EdAAhmMYBv9YI45.jpeg?imageMogr2%2Fthumbnail%2F%21690x370r%2Fgravity%2FCenter%2Fcrop%2F%21690x370%2Fquality%2F100,"·又名紫禁城，是中国乃至世界上保存最完整，规模最大的木质结构古建筑群，被誉为“世界五大宫之首”。
·内廷以乾清宫、交泰殿、坤宁宫后三宫为中心，以及东西两侧的东六宫和西六宫，是封建帝王与后妃居住之所，也就是俗称的“三宫六院”。
·故宫内珍藏有大量珍贵文物，据统计有上百万件，占全国文物总数的六分之一。钟表馆每天11点和14点有钟表演示，不可错过。
·故宫需要从南到北参观，午门是唯一的入口，出口是东华门和神武门。",3小时以上,"公交：乘坐1路、2路、52路、59路、82路、99路、120路、126路、观光1线、专2路在“天安门东”站下车然后步行约900米到达午门。
地铁：乘坐地铁1号线在“天安门东”站下车，步行约900米，即可从午门进入故宫。（故宫博物院的南门）
故宫不设停车场，周边的公共停车场也较远，故不建议驾车前来。",成人票60人民币/学生票20人民币；内部景点:珍宝馆10人民币/钟表馆10人民币 (4月1日-10月31日 周二-周日),08:30-16:30；停止售票时间:15:30；停止入场时间:15:40 (11月01日-次年03月31日 周二-周日),北京市东城区景山前街4号,,3
342,天坛公园,北京,北京,http://p1-q.mafengwo.net/s9/M00/50/C0/wKgBs1dZeKGADt4MAAlCKUhzg3A52.jpeg?imageMogr2%2Fthumbnail%2F%21690x370r%2Fgravity%2FCenter%2Fcrop%2F%21690x370%2Fquality%2F100,"·天坛是明、清两朝皇帝祭天、求雨和祈祷丰年的专用祭坛，分为内坛、外坛两部分，主要有祈年殿、皇乾殿等。
·除了观赏各殿堂的精巧建筑，回音壁、三音石等奇巧的设计也一样令人慨叹古人的智慧。
·游览一般南门进北门（或东门）出，依次参观圜丘、皇穹宇、丹陛桥、祈年殿和皇乾殿后离开。",3小时以上,天坛南门：36、120、122路。,门票:成人票15人民币/优惠票7.5人民币；联票:成人票34人民币/优惠票17人民币 (4月1日-10月31日 周一-周日),06:00-22:00；停止售票时间:20:00 (4月1日-10月31日 周一-周日),北京市东城区天坛东路甲1号,,5
343,颐和园,北京,北京,http://p1-q.mafengwo.net/s10/M00/FB/19/wKgBZ1uBbGWABW5yAA1fj56QUbs26.jpeg?imageMogr2%2Fthumbnail%2F%21690x370r%2Fgravity%2FCenter%2Fcrop%2F%21690x370%2Fquality%2F100,"·颐和园坐落于北京西郊，是中国古典园林之首，1998年12月2日被列入《世界遗产名录》。
·由万寿山和昆明湖组成，全园以西山群峰为背景，建筑群与山湖形势融为一体，景色变幻无穷。
·全园分3个区域，分别为以仁寿殿为中心的政治活动区；以玉澜堂、乐寿堂为主体的帝后生活区；以万寿山和昆明湖组成的风景旅游区。",3小时以上,到达西宫门：乘469、539路在颐和园西门站下，即可到达,普通票:30人民币；公园+园中园:60人民币 (4月1日-10月31日 周一-周日),"06:30-18:00,08:30-17:00(园中园) (4月1日-10月31日 周一-周日)",北京市海淀区新建宫门路19号,,3
344,圆明园,北京,北京,http://b1-q.mafengwo.net/s12/M00/EB/FB/wKgED1unTByAads1AAc9Gn5CBM427.jpeg?imageMogr2%2Fthumbnail%2F%21690x370r%2Fgravity%2FCenter%2Fcrop%2F%21690x370%2Fquality%2F100,"·毗邻颐和园，由圆明、长春、绮春三园组成，是清朝帝王在150余年间创建和经营的一座大型皇家宫苑。
·1860年英法联军将主要建筑烧为灰烬，如今游客前来只能在残骸中凭吊，寻找当年辉煌的帝国身影。
·绮春园中各处小景点众多，是一个小型水景园的大集合。如今，是圆明园每年一届的荷花节主场地。
·长春园以大型水景为主体，大家耳熟能详的“大水法”，即位于此。",,到达绮春园宫门：乘319、320、331、432、438、498、601、626、628、664、690、696、697、特6路在圆明园南门站下，或乘地铁4号线圆明园南门站C口、圆明园站B口出。,大门门票:10人民币；月票:15人民币；西洋楼遗址景区:15人民币；圆明园盛时全景模型展:10人民币 (1月1日-12月31日 周一-周日),"07:00-19:30；停止售票时间:17:30 (1月1日-3月15日,10月16日-12月31日 周一-周日)",北京市海淀区清华西路28号,,5
426,白盆珠水库,广东,惠州,http://p2-q.mafengwo.net/s6/M00/55/3B/wKgB4lNzgL-AYwbGAAOyGD3HviI60.jpeg,白盆珠水库位于惠州市惠东县白盆珠镇，原地称白朦珠。因库区地形似盆，故改称白盆珠。枢纽工程的技施设计于1977年开始，1981年底完成拦河坝、土坝、电站的施工详图。拦河坝枢纽工程设计获广东省1987年至1985年度设计优秀项目二等奖。集水面积856平方公里，最大防洪库容12.2亿立方米。是防洪、灌溉、发电和改善航运等综合利用的大型水库。,获取失败,自驾途径潮莞高速、甬莞高速右转，进入S356，行驶18.9公里,免费,全天 (1月1日-12月31日 周一-周日),广东省惠州市惠东县白盆珠镇,,3
466,白云山,广东,广州,http://n3-q.mafengwo.net/s5/M00/A7/DF/wKgB3FDGliOAbIEEACtJlr0zHzE05.jpeg,"·白云山是南粤名山之一，被称为羊城第一秀、南越第一山。
·由30多座山峰组成，登高可俯览全市，遥望珠江，是知名的踏青胜地。
·每当雨后天晴或暮春时节，山间白云缭绕，白云山名由此而来。
·分为明珠楼、摩星岭、鸣春谷、三台岭、麓湖、飞鹅岭及荷依岭七个游览区。
·景区内还能体验滑草、滑道、小型蹦极等娱乐项目。",3小时以上,"1、在越华路上乘到白云山的专线车；
2、乘11路公交车至沙河濂泉路再步行上山；
3、乘24、257、223、36、285、540路公交车先到云台花园，再乘缆车（全长1672米）上山 。","普通票:5人民币；年票:200人民币；月票:20人民币；索道:上山单程票25人民币/下山单程票20人民币；云台花园/鸣春谷:10人民币；碑林/摩星岭/桃花涧:5人民币 (1月1日-12月31日 周一-周日)
半票:持有效证件的全日制大学本科及以下学生、 6岁至18岁未成年人、60岁至64岁老人
免票:6岁或身高1.2米以下儿童、65岁以上老人、现役军人、军队离退休干部、残疾人凭有效证件
tips:
景区非常大，建议提前浏览官网规划好游览线路。",全天09:00-18:00(索道) (1月1日-12月31日 周一-周日),广州市白云区广园中路801号,,5
444,陈家祠,广东,广州,http://n2-q.mafengwo.net/s6/M00/67/52/wKgB4lMpk-KAdZgcAAUpgfKn-Y059.jpeg,"·原称陈氏书院，建于清光绪十四年，是广东现存规模最大、保存最完整、装饰最精美的中国清代宗祠建筑。
·主体建筑为五座三进、九堂六院，以大门、聚贤堂和后座为中轴线，由大小19座建筑组成建筑群体，各个单体建筑之间既独立又互相联系。
·祠内现仍可见精美建筑，遍布在祠堂内外的木雕、石雕、砖雕、泥塑、陶塑、铁铸工艺等装饰物件。",获取失败,"1、地铁1号线在陈家祠站下车即到。
2、乘坐公交85、88、104、107、109、114、128、193、204、233、250、260、268、286路陈家祠站下；或3、公交15、52、55、105、133、196、207、232、223、549、555路至荔湾路站下。","普通票:10人民币 (1月1日-12月31日 周一-周日)
半票:学生及退休人员凭证
免票:70岁以上老人",08:30-17:30 (1月1日-12月31日 周一-周日),广州市荔湾区中山七路恩龙里34号,,5
451,大丰门风景区,广东,增城,http://b4-q.mafengwo.net/s6/M00/AA/56/wKgB4lKJlKKAIwi5AAOiSqHC-Mo37.jpeg,"大丰门风景区位于增城白水寨风景名胜区内，像一块碧绿的翡翠镶嵌在白水仙瀑景区与南昆山景区之间，北回归线穿越其中，面积达38平方公里。这里遍布奇峰秀水、峡谷激流、森林湖泊、冰臼奇石、瀑布深潭、天梯云雾、温泉卧佛，集全国名山胜水的优点一身，同时又独具特色，令人叹为观止。
景区内森林面积多达十三万亩，生长着樟、松、红枫、杨梅、红花荷、桫椤、毛竹等无数植物，仅是受国家三级保护以上植物就多达上百种，可谓奇花古木丛生，珍稀草药遍野。其中恐龙时代植物野生桫椤和柏栎，皆为国家一级保护植物。林木终年繁盛，万顷碧绿，春夏绿浪翻滚，秋冬色彩斑斓，浓装素裹，色彩变幻。林间走兽出没，山猪、果子狸、穿山甲、小松鼠时现影踪。
大丰门景区锦绣大瀑布四层叠水的第一层呈双龙戏珠状，第二层酷似黄果树瀑布，第三层则像黄河的壶口瀑布，第四层如九寨沟的珍珠滩。锦绣大瀑布，集黄果树瀑布之壮阔、壶口瀑布之雄浑、九寨瀑布之隽秀于一体，可谓华南最壮观的瀑布。在游客中心步行300米，游客就可以零距离体验扑面而来的震撼。",获取失败,"自驾：
1、广州--广从公路105国道(灌村)--温南公路--白水寨风景名胜区--大丰门旅游度假区
2、广州--华南快速干线--京珠高速(鳌头出口)--从化市区--广从公路105国道(灌村)--温南公路(省道355)--白水寨风景名胜区--大丰门旅游度假区
3、广州--内环路--广汕公路324国道--增城广场--荔景大道--增派旅游大道--小楼镇何仙姑旅游景区--小正公路--正派公路--派潭镇--大丰门旅游度假区
4、广州--华南快速干线--环城高速--广深高速--北二环高速--广惠高速(仙村出口)--荔新公路(北行)--增城广场--荔景大道--增派旅游大道--小楼镇何仙姑旅游景区--小正公路--正派公路--派潭镇--大丰门旅游度假区。",成人票：100元。身高1.2米以下儿童免费（其他优惠人群以现场公告为准）。09:00-17:00,09:00-16:00 (1月1日-12月31日 周一-周日),广州市增城区派潭镇仙泉中路3号,,3
387,丹霞山,广东,仁化,http://p2-q.mafengwo.net/s5/M00/C1/99/wKgB3FGiFPeASoMlAAdOqqBcdyo21.jpeg,"·丹霞山是广东面积最大、以丹霞地貌景观为主的风景区， 与鼎湖山、罗浮山、西樵山合称为广东四大名山。
·主要分为丹霞景区、韶石景区、巴寨景区、仙人迹景区与锦江画廊游览区几大区域。
·现有佛教禅寺及800多处石窟寺遗址，历代文人在这里留下了许多诗词和摩崖石刻，具有极大的历史文化价值。
·拥有世界上独一无二、貌似神凝的阳元石、双乳石、睡美人等，使丹霞山有“天然的性文化博物馆”之称。",获取失败,韶关东站有丹霞旅游专车直达丹霞山新山门，景区内有专车免费接送至上山地点。,"普通票:100人民币 (1月1日-12月31日 周一-周日)
普通票:80人民币 (1月1日-12月31日 节假日)
水上丹霞:120人民币；观光竹筏:100人民币；索道:单程40人民币/双程60人民币 (1月1日-12月31日 周一-周日)
tips:
1.2米以下儿童，70岁以上老人免费；1.2米-1.5米儿童，60-69岁老人，学生凭有效学生证购买半价票。",全天08:30-16:00(竹筏游船) (01月01日-12月31日 周一-周日),韶关市仁化县106国道,,4
